model,mode,fold,img1,img2,similarity,label
deepface,FF,01,cfp-dataset\Data\Images\005\frontal\01.jpg,cfp-dataset\Data\Images\005\frontal\03.jpg,0.884543,1
deepface,FF,01,cfp-dataset\Data\Images\006\frontal\06.jpg,cfp-dataset\Data\Images\006\frontal\04.jpg,0.687871,1
deepface,FF,01,cfp-dataset\Data\Images\006\frontal\09.jpg,cfp-dataset\Data\Images\006\frontal\02.jpg,0.690880,1
deepface,FF,01,cfp-dataset\Data\Images\006\frontal\07.jpg,cfp-dataset\Data\Images\006\frontal\02.jpg,0.550708,1
deepface,FF,01,cfp-dataset\Data\Images\006\frontal\10.jpg,cfp-dataset\Data\Images\006\frontal\05.jpg,0.524193,1
deepface,FF,01,cfp-dataset\Data\Images\006\frontal\10.jpg,cfp-dataset\Data\Images\006\frontal\03.jpg,0.537229,1
deepface,FF,01,cfp-dataset\Data\Images\006\frontal\03.jpg,cfp-dataset\Data\Images\006\frontal\09.jpg,0.494594,1
deepface,FF,01,cfp-dataset\Data\Images\006\frontal\05.jpg,cfp-dataset\Data\Images\006\frontal\07.jpg,0.679248,1
deepface,FF,01,cfp-dataset\Data\Images\007\frontal\04.jpg,cfp-dataset\Data\Images\007\frontal\06.jpg,0.481107,1
deepface,FF,01,cfp-dataset\Data\Images\007\frontal\04.jpg,cfp-dataset\Data\Images\007\frontal\07.jpg,0.563634,1
deepface,FF,01,cfp-dataset\Data\Images\007\frontal\09.jpg,cfp-dataset\Data\Images\007\frontal\06.jpg,0.932587,1
deepface,FF,01,cfp-dataset\Data\Images\007\frontal\09.jpg,cfp-dataset\Data\Images\007\frontal\07.jpg,0.808383,1
deepface,FF,01,cfp-dataset\Data\Images\007\frontal\07.jpg,cfp-dataset\Data\Images\007\frontal\06.jpg,0.794237,1
deepface,FF,01,cfp-dataset\Data\Images\007\frontal\06.jpg,cfp-dataset\Data\Images\007\frontal\03.jpg,0.886242,1
deepface,FF,01,cfp-dataset\Data\Images\007\frontal\01.jpg,cfp-dataset\Data\Images\007\frontal\06.jpg,0.912776,1
deepface,FF,01,cfp-dataset\Data\Images\008\frontal\07.jpg,cfp-dataset\Data\Images\008\frontal\01.jpg,0.820045,1
deepface,FF,01,cfp-dataset\Data\Images\008\frontal\08.jpg,cfp-dataset\Data\Images\008\frontal\01.jpg,0.716970,1
deepface,FF,01,cfp-dataset\Data\Images\008\frontal\08.jpg,cfp-dataset\Data\Images\008\frontal\06.jpg,0.845019,1
deepface,FF,01,cfp-dataset\Data\Images\008\frontal\07.jpg,cfp-dataset\Data\Images\008\frontal\04.jpg,0.618264,1
deepface,FF,01,cfp-dataset\Data\Images\008\frontal\03.jpg,cfp-dataset\Data\Images\008\frontal\07.jpg,0.729816,1
deepface,FF,01,cfp-dataset\Data\Images\008\frontal\03.jpg,cfp-dataset\Data\Images\008\frontal\02.jpg,0.848798,1
deepface,FF,01,cfp-dataset\Data\Images\008\frontal\03.jpg,cfp-dataset\Data\Images\008\frontal\01.jpg,0.736963,1
deepface,FF,01,cfp-dataset\Data\Images\009\frontal\04.jpg,cfp-dataset\Data\Images\009\frontal\09.jpg,0.716550,1
deepface,FF,01,cfp-dataset\Data\Images\009\frontal\08.jpg,cfp-dataset\Data\Images\009\frontal\02.jpg,-0.204537,1
deepface,FF,01,cfp-dataset\Data\Images\009\frontal\10.jpg,cfp-dataset\Data\Images\009\frontal\04.jpg,0.627825,1
deepface,FF,01,cfp-dataset\Data\Images\009\frontal\02.jpg,cfp-dataset\Data\Images\009\frontal\09.jpg,0.611742,1
deepface,FF,01,cfp-dataset\Data\Images\009\frontal\09.jpg,cfp-dataset\Data\Images\009\frontal\03.jpg,-0.060979,1
deepface,FF,01,cfp-dataset\Data\Images\009\frontal\01.jpg,cfp-dataset\Data\Images\009\frontal\02.jpg,0.624593,1
deepface,FF,01,cfp-dataset\Data\Images\009\frontal\10.jpg,cfp-dataset\Data\Images\009\frontal\09.jpg,0.559392,1
deepface,FF,01,cfp-dataset\Data\Images\010\frontal\07.jpg,cfp-dataset\Data\Images\010\frontal\05.jpg,0.390023,1
deepface,FF,01,cfp-dataset\Data\Images\010\frontal\10.jpg,cfp-dataset\Data\Images\010\frontal\01.jpg,0.791175,1
deepface,FF,01,cfp-dataset\Data\Images\010\frontal\08.jpg,cfp-dataset\Data\Images\010\frontal\01.jpg,0.896178,1
deepface,FF,01,cfp-dataset\Data\Images\010\frontal\03.jpg,cfp-dataset\Data\Images\010\frontal\06.jpg,0.742465,1
deepface,FF,01,cfp-dataset\Data\Images\010\frontal\08.jpg,cfp-dataset\Data\Images\010\frontal\03.jpg,0.648609,1
deepface,FF,01,cfp-dataset\Data\Images\010\frontal\03.jpg,cfp-dataset\Data\Images\010\frontal\01.jpg,0.664739,1
deepface,FF,01,cfp-dataset\Data\Images\010\frontal\08.jpg,cfp-dataset\Data\Images\010\frontal\06.jpg,0.628172,1
deepface,FF,01,cfp-dataset\Data\Images\011\frontal\06.jpg,cfp-dataset\Data\Images\011\frontal\01.jpg,0.700718,1
deepface,FF,01,cfp-dataset\Data\Images\011\frontal\04.jpg,cfp-dataset\Data\Images\011\frontal\08.jpg,0.458404,1
deepface,FF,01,cfp-dataset\Data\Images\011\frontal\09.jpg,cfp-dataset\Data\Images\011\frontal\10.jpg,0.376806,1
deepface,FF,01,cfp-dataset\Data\Images\011\frontal\06.jpg,cfp-dataset\Data\Images\011\frontal\09.jpg,0.409090,1
deepface,FF,01,cfp-dataset\Data\Images\011\frontal\08.jpg,cfp-dataset\Data\Images\011\frontal\04.jpg,0.458404,1
deepface,FF,01,cfp-dataset\Data\Images\011\frontal\08.jpg,cfp-dataset\Data\Images\011\frontal\06.jpg,0.433918,1
deepface,FF,01,cfp-dataset\Data\Images\011\frontal\01.jpg,cfp-dataset\Data\Images\011\frontal\09.jpg,0.335040,1
deepface,FF,01,cfp-dataset\Data\Images\012\frontal\02.jpg,cfp-dataset\Data\Images\012\frontal\03.jpg,0.522482,1
deepface,FF,01,cfp-dataset\Data\Images\012\frontal\05.jpg,cfp-dataset\Data\Images\012\frontal\10.jpg,0.673372,1
deepface,FF,01,cfp-dataset\Data\Images\012\frontal\08.jpg,cfp-dataset\Data\Images\012\frontal\10.jpg,0.829256,1
deepface,FF,01,cfp-dataset\Data\Images\012\frontal\09.jpg,cfp-dataset\Data\Images\012\frontal\05.jpg,0.578943,1
deepface,FF,01,cfp-dataset\Data\Images\012\frontal\04.jpg,cfp-dataset\Data\Images\012\frontal\07.jpg,0.480861,1
deepface,FF,01,cfp-dataset\Data\Images\012\frontal\06.jpg,cfp-dataset\Data\Images\012\frontal\10.jpg,0.525634,1
deepface,FF,01,cfp-dataset\Data\Images\012\frontal\03.jpg,cfp-dataset\Data\Images\012\frontal\09.jpg,0.739659,1
deepface,FF,01,cfp-dataset\Data\Images\013\frontal\08.jpg,cfp-dataset\Data\Images\013\frontal\06.jpg,0.820635,1
deepface,FF,01,cfp-dataset\Data\Images\013\frontal\09.jpg,cfp-dataset\Data\Images\013\frontal\07.jpg,0.768339,1
deepface,FF,01,cfp-dataset\Data\Images\013\frontal\06.jpg,cfp-dataset\Data\Images\013\frontal\03.jpg,0.872736,1
deepface,FF,01,cfp-dataset\Data\Images\013\frontal\04.jpg,cfp-dataset\Data\Images\013\frontal\03.jpg,0.675439,1
deepface,FF,01,cfp-dataset\Data\Images\013\frontal\09.jpg,cfp-dataset\Data\Images\013\frontal\06.jpg,0.820635,1
deepface,FF,01,cfp-dataset\Data\Images\013\frontal\02.jpg,cfp-dataset\Data\Images\013\frontal\01.jpg,0.554507,1
deepface,FF,01,cfp-dataset\Data\Images\013\frontal\05.jpg,cfp-dataset\Data\Images\013\frontal\04.jpg,0.841885,1
deepface,FF,01,cfp-dataset\Data\Images\014\frontal\04.jpg,cfp-dataset\Data\Images\014\frontal\09.jpg,1.000000,1
deepface,FF,01,cfp-dataset\Data\Images\014\frontal\10.jpg,cfp-dataset\Data\Images\014\frontal\01.jpg,0.677303,1
deepface,FF,01,cfp-dataset\Data\Images\014\frontal\09.jpg,cfp-dataset\Data\Images\014\frontal\05.jpg,0.848196,1
deepface,FF,01,cfp-dataset\Data\Images\014\frontal\10.jpg,cfp-dataset\Data\Images\014\frontal\09.jpg,0.871719,1
deepface,FF,01,cfp-dataset\Data\Images\014\frontal\01.jpg,cfp-dataset\Data\Images\014\frontal\10.jpg,0.677303,1
deepface,FF,01,cfp-dataset\Data\Images\014\frontal\06.jpg,cfp-dataset\Data\Images\014\frontal\03.jpg,0.767761,1
deepface,FF,01,cfp-dataset\Data\Images\014\frontal\08.jpg,cfp-dataset\Data\Images\014\frontal\04.jpg,0.836010,1
deepface,FF,01,cfp-dataset\Data\Images\015\frontal\03.jpg,cfp-dataset\Data\Images\015\frontal\06.jpg,0.856472,1
deepface,FF,01,cfp-dataset\Data\Images\015\frontal\10.jpg,cfp-dataset\Data\Images\015\frontal\06.jpg,0.824887,1
deepface,FF,01,cfp-dataset\Data\Images\015\frontal\04.jpg,cfp-dataset\Data\Images\015\frontal\09.jpg,0.763087,1
deepface,FF,01,cfp-dataset\Data\Images\015\frontal\08.jpg,cfp-dataset\Data\Images\015\frontal\01.jpg,0.612883,1
deepface,FF,01,cfp-dataset\Data\Images\015\frontal\06.jpg,cfp-dataset\Data\Images\015\frontal\04.jpg,0.801515,1
deepface,FF,01,cfp-dataset\Data\Images\015\frontal\07.jpg,cfp-dataset\Data\Images\015\frontal\09.jpg,0.786605,1
deepface,FF,01,cfp-dataset\Data\Images\015\frontal\08.jpg,cfp-dataset\Data\Images\015\frontal\03.jpg,0.904666,1
deepface,FF,01,cfp-dataset\Data\Images\016\frontal\03.jpg,cfp-dataset\Data\Images\016\frontal\05.jpg,0.657137,1
deepface,FF,01,cfp-dataset\Data\Images\016\frontal\06.jpg,cfp-dataset\Data\Images\016\frontal\04.jpg,0.770421,1
deepface,FF,01,cfp-dataset\Data\Images\016\frontal\08.jpg,cfp-dataset\Data\Images\016\frontal\05.jpg,0.752748,1
deepface,FF,01,cfp-dataset\Data\Images\016\frontal\08.jpg,cfp-dataset\Data\Images\016\frontal\02.jpg,0.675831,1
deepface,FF,01,cfp-dataset\Data\Images\016\frontal\09.jpg,cfp-dataset\Data\Images\016\frontal\02.jpg,0.496730,1
deepface,FF,01,cfp-dataset\Data\Images\016\frontal\09.jpg,cfp-dataset\Data\Images\016\frontal\06.jpg,0.536376,1
deepface,FF,01,cfp-dataset\Data\Images\016\frontal\06.jpg,cfp-dataset\Data\Images\016\frontal\09.jpg,0.536376,1
deepface,FF,01,cfp-dataset\Data\Images\017\frontal\02.jpg,cfp-dataset\Data\Images\017\frontal\05.jpg,0.755699,1
deepface,FF,01,cfp-dataset\Data\Images\017\frontal\05.jpg,cfp-dataset\Data\Images\017\frontal\04.jpg,0.898049,1
deepface,FF,01,cfp-dataset\Data\Images\017\frontal\05.jpg,cfp-dataset\Data\Images\017\frontal\10.jpg,0.641666,1
deepface,FF,01,cfp-dataset\Data\Images\017\frontal\03.jpg,cfp-dataset\Data\Images\017\frontal\08.jpg,0.495364,1
deepface,FF,01,cfp-dataset\Data\Images\017\frontal\10.jpg,cfp-dataset\Data\Images\017\frontal\03.jpg,0.938673,1
deepface,FF,01,cfp-dataset\Data\Images\017\frontal\07.jpg,cfp-dataset\Data\Images\017\frontal\08.jpg,0.633248,1
deepface,FF,01,cfp-dataset\Data\Images\017\frontal\10.jpg,cfp-dataset\Data\Images\017\frontal\09.jpg,0.524901,1
deepface,FF,01,cfp-dataset\Data\Images\018\frontal\02.jpg,cfp-dataset\Data\Images\018\frontal\09.jpg,0.523522,1
deepface,FF,01,cfp-dataset\Data\Images\018\frontal\06.jpg,cfp-dataset\Data\Images\018\frontal\01.jpg,0.573557,1
deepface,FF,01,cfp-dataset\Data\Images\018\frontal\03.jpg,cfp-dataset\Data\Images\018\frontal\06.jpg,0.717753,1
deepface,FF,01,cfp-dataset\Data\Images\018\frontal\02.jpg,cfp-dataset\Data\Images\018\frontal\06.jpg,0.587796,1
deepface,FF,01,cfp-dataset\Data\Images\018\frontal\09.jpg,cfp-dataset\Data\Images\018\frontal\10.jpg,0.578838,1
deepface,FF,01,cfp-dataset\Data\Images\018\frontal\08.jpg,cfp-dataset\Data\Images\018\frontal\07.jpg,0.690981,1
deepface,FF,01,cfp-dataset\Data\Images\018\frontal\10.jpg,cfp-dataset\Data\Images\018\frontal\07.jpg,0.536355,1
deepface,FF,01,cfp-dataset\Data\Images\019\frontal\09.jpg,cfp-dataset\Data\Images\019\frontal\04.jpg,0.836276,1
deepface,FF,01,cfp-dataset\Data\Images\019\frontal\10.jpg,cfp-dataset\Data\Images\019\frontal\04.jpg,0.707853,1
deepface,FF,01,cfp-dataset\Data\Images\019\frontal\01.jpg,cfp-dataset\Data\Images\019\frontal\07.jpg,0.666595,1
deepface,FF,01,cfp-dataset\Data\Images\019\frontal\03.jpg,cfp-dataset\Data\Images\019\frontal\10.jpg,0.587726,1
deepface,FF,01,cfp-dataset\Data\Images\019\frontal\03.jpg,cfp-dataset\Data\Images\019\frontal\05.jpg,0.658215,1
deepface,FF,01,cfp-dataset\Data\Images\019\frontal\07.jpg,cfp-dataset\Data\Images\019\frontal\04.jpg,0.671148,1
deepface,FF,01,cfp-dataset\Data\Images\019\frontal\10.jpg,cfp-dataset\Data\Images\019\frontal\07.jpg,0.481518,1
deepface,FF,01,cfp-dataset\Data\Images\020\frontal\07.jpg,cfp-dataset\Data\Images\020\frontal\02.jpg,0.700901,1
deepface,FF,01,cfp-dataset\Data\Images\020\frontal\02.jpg,cfp-dataset\Data\Images\020\frontal\08.jpg,0.727122,1
deepface,FF,01,cfp-dataset\Data\Images\020\frontal\08.jpg,cfp-dataset\Data\Images\020\frontal\02.jpg,0.727122,1
deepface,FF,01,cfp-dataset\Data\Images\020\frontal\10.jpg,cfp-dataset\Data\Images\020\frontal\02.jpg,0.796772,1
deepface,FF,01,cfp-dataset\Data\Images\020\frontal\09.jpg,cfp-dataset\Data\Images\020\frontal\01.jpg,0.618197,1
deepface,FF,01,cfp-dataset\Data\Images\020\frontal\10.jpg,cfp-dataset\Data\Images\020\frontal\04.jpg,0.736669,1
deepface,FF,01,cfp-dataset\Data\Images\020\frontal\02.jpg,cfp-dataset\Data\Images\020\frontal\05.jpg,0.781989,1
deepface,FF,01,cfp-dataset\Data\Images\021\frontal\04.jpg,cfp-dataset\Data\Images\021\frontal\07.jpg,0.851135,1
deepface,FF,01,cfp-dataset\Data\Images\021\frontal\04.jpg,cfp-dataset\Data\Images\021\frontal\09.jpg,0.552308,1
deepface,FF,01,cfp-dataset\Data\Images\021\frontal\03.jpg,cfp-dataset\Data\Images\021\frontal\01.jpg,0.702179,1
deepface,FF,01,cfp-dataset\Data\Images\021\frontal\06.jpg,cfp-dataset\Data\Images\021\frontal\02.jpg,0.579728,1
deepface,FF,01,cfp-dataset\Data\Images\021\frontal\02.jpg,cfp-dataset\Data\Images\021\frontal\06.jpg,0.579728,1
deepface,FF,01,cfp-dataset\Data\Images\021\frontal\01.jpg,cfp-dataset\Data\Images\021\frontal\07.jpg,0.753191,1
deepface,FF,01,cfp-dataset\Data\Images\021\frontal\03.jpg,cfp-dataset\Data\Images\021\frontal\07.jpg,0.766535,1
deepface,FF,01,cfp-dataset\Data\Images\022\frontal\05.jpg,cfp-dataset\Data\Images\022\frontal\09.jpg,0.577199,1
deepface,FF,01,cfp-dataset\Data\Images\022\frontal\02.jpg,cfp-dataset\Data\Images\022\frontal\04.jpg,0.642338,1
deepface,FF,01,cfp-dataset\Data\Images\022\frontal\08.jpg,cfp-dataset\Data\Images\022\frontal\03.jpg,0.557014,1
deepface,FF,01,cfp-dataset\Data\Images\022\frontal\06.jpg,cfp-dataset\Data\Images\022\frontal\01.jpg,0.846891,1
deepface,FF,01,cfp-dataset\Data\Images\022\frontal\06.jpg,cfp-dataset\Data\Images\022\frontal\08.jpg,0.682483,1
deepface,FF,01,cfp-dataset\Data\Images\022\frontal\01.jpg,cfp-dataset\Data\Images\022\frontal\02.jpg,0.892756,1
deepface,FF,01,cfp-dataset\Data\Images\022\frontal\08.jpg,cfp-dataset\Data\Images\022\frontal\06.jpg,0.682483,1
deepface,FF,01,cfp-dataset\Data\Images\023\frontal\08.jpg,cfp-dataset\Data\Images\023\frontal\10.jpg,0.129812,1
deepface,FF,01,cfp-dataset\Data\Images\023\frontal\01.jpg,cfp-dataset\Data\Images\023\frontal\03.jpg,0.689967,1
deepface,FF,01,cfp-dataset\Data\Images\023\frontal\09.jpg,cfp-dataset\Data\Images\023\frontal\04.jpg,0.515358,1
deepface,FF,01,cfp-dataset\Data\Images\023\frontal\06.jpg,cfp-dataset\Data\Images\023\frontal\03.jpg,0.743764,1
deepface,FF,01,cfp-dataset\Data\Images\023\frontal\08.jpg,cfp-dataset\Data\Images\023\frontal\04.jpg,0.771040,1
deepface,FF,01,cfp-dataset\Data\Images\023\frontal\07.jpg,cfp-dataset\Data\Images\023\frontal\09.jpg,0.720555,1
deepface,FF,01,cfp-dataset\Data\Images\023\frontal\07.jpg,cfp-dataset\Data\Images\023\frontal\05.jpg,0.752903,1
deepface,FF,01,cfp-dataset\Data\Images\024\frontal\03.jpg,cfp-dataset\Data\Images\024\frontal\02.jpg,0.392085,1
deepface,FF,01,cfp-dataset\Data\Images\024\frontal\10.jpg,cfp-dataset\Data\Images\024\frontal\09.jpg,0.487504,1
deepface,FF,01,cfp-dataset\Data\Images\024\frontal\01.jpg,cfp-dataset\Data\Images\024\frontal\05.jpg,0.760547,1
deepface,FF,01,cfp-dataset\Data\Images\024\frontal\01.jpg,cfp-dataset\Data\Images\024\frontal\02.jpg,0.738222,1
deepface,FF,01,cfp-dataset\Data\Images\024\frontal\03.jpg,cfp-dataset\Data\Images\024\frontal\05.jpg,0.507236,1
deepface,FF,01,cfp-dataset\Data\Images\024\frontal\04.jpg,cfp-dataset\Data\Images\024\frontal\02.jpg,0.454358,1
deepface,FF,01,cfp-dataset\Data\Images\024\frontal\10.jpg,cfp-dataset\Data\Images\024\frontal\02.jpg,0.488567,1
deepface,FF,01,cfp-dataset\Data\Images\025\frontal\04.jpg,cfp-dataset\Data\Images\025\frontal\06.jpg,0.749919,1
deepface,FF,01,cfp-dataset\Data\Images\025\frontal\05.jpg,cfp-dataset\Data\Images\025\frontal\10.jpg,0.717182,1
deepface,FF,01,cfp-dataset\Data\Images\025\frontal\04.jpg,cfp-dataset\Data\Images\025\frontal\07.jpg,0.840327,1
deepface,FF,01,cfp-dataset\Data\Images\025\frontal\01.jpg,cfp-dataset\Data\Images\025\frontal\02.jpg,0.753164,1
deepface,FF,01,cfp-dataset\Data\Images\025\frontal\02.jpg,cfp-dataset\Data\Images\025\frontal\07.jpg,0.727774,1
deepface,FF,01,cfp-dataset\Data\Images\025\frontal\06.jpg,cfp-dataset\Data\Images\025\frontal\03.jpg,0.754260,1
deepface,FF,01,cfp-dataset\Data\Images\025\frontal\08.jpg,cfp-dataset\Data\Images\025\frontal\02.jpg,0.605768,1
deepface,FF,01,cfp-dataset\Data\Images\026\frontal\05.jpg,cfp-dataset\Data\Images\026\frontal\09.jpg,0.655266,1
deepface,FF,01,cfp-dataset\Data\Images\026\frontal\03.jpg,cfp-dataset\Data\Images\026\frontal\04.jpg,0.749457,1
deepface,FF,01,cfp-dataset\Data\Images\026\frontal\02.jpg,cfp-dataset\Data\Images\026\frontal\09.jpg,0.647174,1
deepface,FF,01,cfp-dataset\Data\Images\026\frontal\10.jpg,cfp-dataset\Data\Images\026\frontal\04.jpg,0.619802,1
deepface,FF,01,cfp-dataset\Data\Images\026\frontal\09.jpg,cfp-dataset\Data\Images\026\frontal\06.jpg,0.607077,1
deepface,FF,01,cfp-dataset\Data\Images\026\frontal\09.jpg,cfp-dataset\Data\Images\026\frontal\04.jpg,0.623410,1
deepface,FF,01,cfp-dataset\Data\Images\026\frontal\03.jpg,cfp-dataset\Data\Images\026\frontal\07.jpg,0.779728,1
deepface,FF,01,cfp-dataset\Data\Images\027\frontal\07.jpg,cfp-dataset\Data\Images\027\frontal\03.jpg,0.723041,1
deepface,FF,01,cfp-dataset\Data\Images\027\frontal\04.jpg,cfp-dataset\Data\Images\027\frontal\10.jpg,0.798175,1
deepface,FF,01,cfp-dataset\Data\Images\027\frontal\10.jpg,cfp-dataset\Data\Images\027\frontal\07.jpg,0.744286,1
deepface,FF,01,cfp-dataset\Data\Images\027\frontal\07.jpg,cfp-dataset\Data\Images\027\frontal\08.jpg,0.599033,1
deepface,FF,01,cfp-dataset\Data\Images\027\frontal\03.jpg,cfp-dataset\Data\Images\027\frontal\07.jpg,0.723041,1
deepface,FF,01,cfp-dataset\Data\Images\027\frontal\05.jpg,cfp-dataset\Data\Images\027\frontal\04.jpg,0.791245,1
deepface,FF,01,cfp-dataset\Data\Images\027\frontal\05.jpg,cfp-dataset\Data\Images\027\frontal\08.jpg,0.670498,1
deepface,FF,01,cfp-dataset\Data\Images\028\frontal\04.jpg,cfp-dataset\Data\Images\028\frontal\08.jpg,0.771360,1
deepface,FF,01,cfp-dataset\Data\Images\028\frontal\01.jpg,cfp-dataset\Data\Images\028\frontal\03.jpg,0.550218,1
deepface,FF,01,cfp-dataset\Data\Images\028\frontal\07.jpg,cfp-dataset\Data\Images\028\frontal\01.jpg,0.630271,1
deepface,FF,01,cfp-dataset\Data\Images\028\frontal\01.jpg,cfp-dataset\Data\Images\028\frontal\05.jpg,0.554899,1
deepface,FF,01,cfp-dataset\Data\Images\028\frontal\10.jpg,cfp-dataset\Data\Images\028\frontal\01.jpg,0.576894,1
deepface,FF,01,cfp-dataset\Data\Images\028\frontal\09.jpg,cfp-dataset\Data\Images\028\frontal\04.jpg,0.456063,1
deepface,FF,01,cfp-dataset\Data\Images\028\frontal\06.jpg,cfp-dataset\Data\Images\028\frontal\07.jpg,0.063833,1
deepface,FF,01,cfp-dataset\Data\Images\029\frontal\01.jpg,cfp-dataset\Data\Images\029\frontal\04.jpg,0.795898,1
deepface,FF,01,cfp-dataset\Data\Images\029\frontal\10.jpg,cfp-dataset\Data\Images\029\frontal\08.jpg,0.733995,1
deepface,FF,01,cfp-dataset\Data\Images\029\frontal\08.jpg,cfp-dataset\Data\Images\029\frontal\02.jpg,0.770189,1
deepface,FF,01,cfp-dataset\Data\Images\029\frontal\04.jpg,cfp-dataset\Data\Images\029\frontal\02.jpg,0.748512,1
deepface,FF,01,cfp-dataset\Data\Images\029\frontal\06.jpg,cfp-dataset\Data\Images\029\frontal\04.jpg,0.692506,1
deepface,FF,01,cfp-dataset\Data\Images\029\frontal\03.jpg,cfp-dataset\Data\Images\029\frontal\09.jpg,0.739016,1
deepface,FF,01,cfp-dataset\Data\Images\029\frontal\05.jpg,cfp-dataset\Data\Images\029\frontal\07.jpg,0.701740,1
deepface,FF,01,cfp-dataset\Data\Images\030\frontal\03.jpg,cfp-dataset\Data\Images\030\frontal\05.jpg,0.751333,1
deepface,FF,01,cfp-dataset\Data\Images\030\frontal\06.jpg,cfp-dataset\Data\Images\030\frontal\07.jpg,0.162050,1
